MaDH,MaKH,MaSP,SoLuong,NgayDat,TongTien
199,816,33,3,2025-01-11,41370000
200,784,6,2,2024-11-22,20780000
201,82,93,3,2024-03-22,3570000
202,697,48,3,2025-01-18,23970000
203,334,59,4,2024-10-02,15960000
204,677,78,6,2024-03-15,294000
205,76,48,7,2024-06-15,55930000
206,334,91,6,2025-01-09,14640000
207,678,63,7,2024-06-07,60200000
208,700,11,5,2024-06-24,69950000
209,269,53,7,2025-02-06,8330000
210,137,59,4,2024-06-24,15960000
211,399,81,5,2024-10-05,850000
212,454,85,1,2024-07-17,90000
213,571,87,1,2024-12-04,192000
214,719,21,3,2024-02-11,43470000
215,966,31,7,2024-06-11,14630000
216,553,42,7,2024-09-02,3850000
217,77,88,7,2024-04-02,5530000
218,528,41,3,2025-02-03,2970000
219,679,19,4,2024-06-25,12360000
220,856,20,5,2024-03-23,38750000
221,525,96,7,2024-12-30,5530000
222,106,21,7,2024-07-18,101430000
223,294,4,9,2024-11-16,24750000
224,505,46,5,2024-08-10,17450000
225,97,75,3,2024-05-09,55170000
226,680,60,10,2024-03-03,79390000
227,129,54,1,2024-04-09,4890000
228,658,33,5,2024-04-25,68950000
229,22,3,1,2024-07-13,7750000
230,823,87,5,2024-09-25,960000
231,632,45,7,2024-07-19,27930000
232,128,26,2,2024-05-04,6480000
233,659,63,8,2024-08-15,68800000
234,174,49,5,2024-06-13,38450000
235,923,5,10,2024-06-27,86000000
236,449,65,10,2024-10-15,39900000
237,428,32,5,2024-02-20,54950000
238,725,43,9,2024-08-12,3780000
239,923,29,2,2024-07-13,18780000
240,309,31,6,2025-01-25,12540000
241,51,74,2,2025-03-11,30580000
242,831,11,2,2024-11-13,27980000
243,217,31,5,2024-05-19,10450000
244,577,89,8,2024-07-03,7920000
245,840,55,9,2025-02-14,65610000
246,255,88,10,2025-01-10,7900000
247,462,6,7,2024-05-07,72730000
248,627,49,5,2024-05-11,38450000
249,87,56,6,2024-05-26,23940000
250,428,53,8,2024-07-16,9520000
251,944,18,1,2024-08-16,5290000
252,468,30,3,2025-02-20,33270000
253,995,39,3,2025-01-14,2970000
254,559,20,1,2024-10-16,7750000
255,673,67,6,2024-12-19,25740000
256,597,65,2,2024-08-08,7980000
257,545,49,1,2024-09-29,7690000
258,251,53,3,2024-03-03,3570000
259,175,80,3,2024-03-12,1530000
260,379,7,2,2025-03-01,24880000
261,972,51,2,2024-04-02,15980000
262,979,45,1,2024-03-23,3990000
263,71,62,6,2024-03-31,40470000
264,224,58,7,2024-08-24,58240000
265,339,47,3,2024-03-28,22770000
266,75,77,1,2024-12-16,28190000
267,405,73,3,2024-05-06,47070000
268,543,54,5,2024-05-06,24450000
269,970,60,4,2025-02-17,31756000
270,765,88,6,2024-12-06,4740000
271,707,59,4,2025-01-10,15960000
272,404,65,10,2024-09-18,39900000
273,169,57,8,2024-03-15,41192000
274,589,38,8,2024-12-19,16720000
275,390,24,3,2024-08-14,13200000
276,856,41,9,2025-03-13,8910000
277,126,7,4,2024-10-21,49760000
278,749,25,7,2024-03-21,75250000
279,510,44,3,2024-10-15,1557000
280,647,16,3,2024-06-07,8970000
281,693,73,5,2024-09-24,78450000
282,361,25,4,2024-07-18,43000000
283,452,72,3,2024-08-13,47970000
284,384,41,2,2025-01-19,1980000
285,627,69,8,2025-01-17,111920000
286,402,79,9,2024-07-22,675000
287,502,88,10,2024-12-18,7900000
288,821,25,1,2024-08-20,10750000
289,211,24,5,2024-07-26,22000000
290,569,9,1,2025-02-27,12990000
291,633,32,6,2025-02-01,65940000
292,446,59,8,2025-02-25,31920000
293,507,80,6,2024-07-02,3060000
294,2,92,5,2024-09-04,12950000
295,129,60,3,2024-12-12,23817000
296,212,90,1,2024-04-23,990000
297,535,80,7,2024-02-23,3570000
298,341,55,6,2024-09-25,43740000
299,974,64,6,2024-11-23,50340000
300,672,24,8,2024-07-30,35200000
301,439,5,2,2024-07-15,17200000
302,667,30,9,2024-06-14,99810000
303,135,57,8,2025-02-23,41192000
304,300,16,3,2024-07-21,8970000
305,5,45,10,2024-08-18,39900000
306,74,38,5,2024-05-10,10450000
307,912,52,1,2024-04-20,859000
308,74,34,3,2024-04-10,11370000
309,370,71,7,2024-11-19,127330000
310,339,26,3,2024-06-29,9720000
311,280,15,7,2024-03-29,59430000
312,743,80,7,2024-04-13,3570000
313,938,13,9,2024-03-27,34110000
314,724,78,2,2024-10-16,98000
315,22,21,2,2024-10-01,28980000
316,838,61,2,2024-09-21,9580000
317,967,49,5,2024-05-01,38450000
318,617,55,9,2025-03-16,65610000
319,303,19,7,2024-02-23,21630000
320,671,50,3,2024-03-18,16770000
321,552,45,3,2025-03-13,11970000
322,119,94,7,2024-07-12,41930000
323,378,23,9,2025-01-17,58410000
324,772,63,9,2024-10-19,77400000
325,525,71,6,2024-07-05,109140000
326,552,90,10,2024-06-28,9900000
327,372,10,6,2024-06-13,44340000
328,825,46,5,2024-03-31,17450000
329,828,56,3,2024-03-12,11970000
330,646,28,2,2025-01-28,37980000
331,992,52,2,2024-03-25,1718000
332,340,3,6,2024-11-26,46500000
333,786,17,9,2024-05-11,161010000
334,538,56,3,2024-02-28,11970000
335,187,73,7,2024-03-08,109830000
336,482,30,2,2024-07-22,22180000
337,596,48,1,2024-04-17,7990000
338,182,2,6,2024-05-09,74640000
339,602,68,9,2024-05-10,91710000
340,600,29,3,2024-09-10,28170000
341,340,64,9,2024-09-13,75510000
342,346,96,8,2024-04-15,6320000
343,913,29,3,2024-10-13,28170000
344,227,83,2,2024-07-22,170000
345,566,75,7,2024-05-16,128730000
346,613,38,2,2024-06-01,4180000
347,216,60,4,2024-06-11,31756000
348,769,42,8,2024-05-24,4400000
349,162,29,9,2024-10-14,84510000
350,115,37,6,2024-06-21,2634000
351,174,30,6,2024-03-10,66540000
352,206,55,4,2024-07-10,29160000
353,223,41,4,2024-08-06,3960000
354,368,76,8,2024-12-17,182320000
355,406,9,3,2024-06-13,38970000
356,948,27,9,2024-12-17,152100000
357,266,26,9,2025-02-17,29160000
358,683,33,5,2024-07-28,68950000
359,29,32,7,2025-03-14,76930000
360,871,14,3,2024-09-26,25470000
361,648,27,5,2024-03-25,84500000
362,709,48,8,2024-06-28,63920000
363,182,92,6,2024-03-11,15540000
364,455,54,10,2024-04-07,48900000
365,1000,18,6,2024-05-06,31740000
366,548,6,2,2024-09-18,20780000
367,197,16,10,2024-03-20,29900000
368,652,10,6,2024-11-28,44340000
369,544,9,9,2024-05-24,116910000
370,663,26,4,2024-03-30,12960000
371,125,32,7,2024-10-11,76930000
372,764,29,6,2024-11-29,56340000
373,727,91,2,2024-10-22,4880000
374,836,60,1,2024-02-28,7939000
375,315,57,3,2024-07-01,15447000
376,739,92,8,2024-06-07,20720000
377,974,50,6,2025-01-27,33540000
378,992,87,2,2024-11-30,384000
379,35,89,4,2024-03-28,3960000
380,728,93,1,2024-05-31,1190000
381,53,23,8,2024-12-16,51920000
382,607,22,10,2024-10-02,86900000
383,842,46,6,2024-05-03,20940000
384,183,57,1,2024-02-23,5149000
385,579,51,1,2024-05-06,7990000
386,787,58,5,2024-10-19,41600000
387,648,8,2,2024-06-03,20380000
388,241,2,1,2024-02-14,12440000
389,576,36,9,2024-05-10,9495000
390,1000,11,10,2024-07-24,139900000
391,799,25,3,2024-06-10,32250000
392,289,12,9,2024-02-24,105750000
393,895,81,1,2025-02-20,170000
394,769,28,6,2024-09-24,113940000
395,435,33,9,2024-08-20,124110000
396,570,87,3,2024-11-05,576000
397,422,10,1,2024-10-02,7390000
398,112,16,5,2024-10-20,14950000
399,430,19,3,2024-05-24,9270000
400,6,93,6,2024-10-25,7140000
401,432,39,7,2024-04-06,6930000
402,325,57,2,2024-09-07,10298000
403,240,38,5,2024-04-05,10450000
404,244,63,10,2024-12-24,86000000
405,637,59,3,2024-08-03,11970000
406,373,94,1,2025-01-30,5990000
407,413,6,2,2024-11-22,20780000
408,980,1,4,2024-11-10,21920000
409,643,62,10,2025-02-24,67450000
410,419,88,6,2024-07-15,4740000
411,903,40,3,2024-06-05,1497000
412,588,73,6,2025-03-05,94140000
413,786,94,7,2024-07-06,41930000
414,514,19,6,2024-10-28,18540000
415,45,51,1,2024-08-08,7990000
416,611,32,3,2024-06-07,32970000
417,14,28,8,2024-02-19,151920000
418,491,75,10,2024-05-30,183900000
419,545,92,8,2024-09-18,20720000
420,751,25,6,2024-10-10,64500000
421,589,18,7,2024-12-03,37030000
422,896,57,1,2024-03-23,5149000
423,726,68,10,2024-10-10,101900000
424,238,65,3,2024-10-14,11970000
425,753,75,9,2025-01-25,165510000
426,254,16,8,2024-12-15,23920000
427,292,45,5,2024-02-17,19950000
428,453,83,8,2025-03-12,680000
429,340,82,9,2024-10-06,1530000
430,735,11,8,2024-06-10,111920000
431,299,4,8,2025-02-09,22000000
432,42,46,9,2024-08-01,31410000
433,676,52,6,2025-03-16,5154000
434,933,82,4,2024-05-21,680000
435,713,17,2,2024-10-01,35780000
436,447,55,3,2024-10-24,21870000
437,151,42,4,2024-06-06,2200000
438,841,26,8,2024-09-20,25920000
439,532,6,1,2024-02-22,10390000
440,838,45,10,2025-03-16,39900000
441,60,74,5,2024-07-12,76450000
442,230,60,6,2024-11-29,47634000
443,548,64,5,2024-02-20,41950000
444,566,74,5,2024-04-22,76450000
445,73,42,2,2024-05-31,1100000
446,979,4,2,2025-01-28,5500000
447,527,7,1,2024-06-26,12440000
448,425,3,1,2025-01-20,7750000
449,173,74,4,2024-11-27,61160000
450,280,27,6,2024-04-12,101400000
451,939,90,1,2024-09-24,990000
452,964,88,1,2024-12-18,790000
453,311,29,5,2025-02-12,46950000
454,641,30,3,2025-02-06,33270000
455,481,78,2,2024-05-23,98000
456,568,19,6,2024-05-01,18540000
457,483,67,10,2024-06-17,42900000
458,702,90,8,2024-10-23,7920000
459,422,36,2,2024-07-19,2110000
460,324,30,3,2024-08-24,33270000
461,683,50,7,2024-06-06,39130000
462,929,50,6,2024-12-02,33540000
463,493,85,10,2024-08-28,900000
464,733,53,1,2024-09-14,1190000
465,145,50,4,2024-08-15,22360000
466,284,89,1,2024-07-17,990000
467,237,81,3,2024-06-11,510000
468,398,29,5,2024-02-15,46950000
469,765,31,5,2025-02-23,10450000
470,500,35,10,2024-03-23,27500000
471,746,48,4,2025-01-02,31960000
472,388,62,10,2024-09-09,67450000
473,505,85,8,2024-03-14,720000
474,595,11,3,2024-04-04,41970000
475,890,73,4,2024-03-26,62760000
476,10,45,9,2025-01-07,35910000
477,407,37,7,2024-02-24,3073000
478,469,69,3,2025-01-18,41970000
479,942,34,5,2025-02-13,18950000
480,890,54,10,2024-04-21,48900000
481,602,54,10,2024-10-14,48900000
482,7,73,6,2024-06-01,94140000
483,430,36,10,2024-04-13,10550000
484,479,34,9,2025-02-28,34110000
485,728,15,9,2024-02-28,76410000
486,633,78,7,2025-01-05,343000
487,427,46,10,2024-06-10,34900000
488,621,82,4,2025-03-17,680000
489,357,72,3,2024-04-14,47970000
490,621,83,4,2024-11-03,340000
491,896,7,5,2024-06-30,62200000
492,726,69,2,2025-03-01,27980000
493,822,66,7,2025-03-12,19530000
494,198,44,4,2024-03-20,2076000
495,58,55,10,2024-05-20,72900000
496,325,68,1,2024-09-05,10190000
497,828,94,7,2024-12-18,41930000
498,579,16,9,2024-03-15,26910000
499,273,27,6,2024-05-28,101400000
500,906,56,4,2025-01-20,15960000
501,989,63,2,2024-05-22,17200000
502,637,86,8,2025-03-04,800000
503,95,59,7,2025-02-23,27930000
504,459,55,9,2024-03-21,65610000
505,683,24,6,2025-01-05,26400000
506,750,16,2,2024-05-10,5980000
507,372,37,9,2024-07-04,3951000
508,636,64,5,2024-09-04,41950000
509,871,53,9,2024-11-27,10710000
510,232,32,6,2024-04-29,65940000
511,12,52,6,2024-11-13,5154000
512,390,87,3,2024-06-09,576000
513,164,7,2,2024-06-08,24880000
514,340,84,8,2024-03-06,3600000
515,399,42,3,2024-03-06,1650000
516,227,38,6,2024-11-26,12540000
517,8,79,3,2024-08-31,225000
518,995,14,1,2024-06-23,8490000
519,418,12,5,2024-11-11,58750000
520,836,88,2,2024-09-28,1580000
521,212,74,5,2025-02-11,76450000
522,201,45,10,2024-10-17,39900000
523,782,61,7,2024-05-11,33530000
524,508,28,2,2024-10-10,37980000
525,934,94,10,2025-03-17,59900000
526,497,30,5,2024-11-16,55450000
527,970,7,4,2024-09-10,49760000
528,244,90,5,2024-07-29,4950000
529,35,82,9,2024-12-06,1530000
530,638,21,2,2024-06-21,28980000
531,270,24,6,2024-02-22,26400000
532,636,73,4,2024-09-22,62760000
533,404,63,7,2024-04-19,60200000
534,15,64,6,2024-08-29,50340000
535,386,78,3,2024-12-31,147000
536,618,96,10,2024-05-20,7900000
537,407,75,10,2024-03-01,183900000
538,907,90,10,2024-05-13,9900000
539,341,75,10,2024-09-17,183900000
540,236,41,5,2024-09-17,4950000
541,856,18,10,2024-07-20,52900000
542,873,56,6,2024-05-04,23940000
543,518,84,7,2024-05-03,3150000
544,406,49,10,2024-07-24,76900000
545,295,19,9,2024-07-31,27810000
546,442,29,1,2024-08-05,9390000
547,641,7,10,2025-02-08,124400000
548,917,68,6,2024-05-11,61140000
549,807,81,10,2024-07-27,1700000
550,284,6,7,2024-09-07,72730000
551,632,67,10,2024-09-13,42900000
552,618,35,10,2024-06-12,27500000
553,277,41,5,2025-02-28,4950000
554,766,72,8,2024-03-15,127920000
555,835,4,7,2024-08-14,19250000
556,170,72,7,2024-04-14,111930000
557,973,10,5,2024-07-30,36950000
558,916,24,6,2024-11-05,26400000
559,422,31,3,2025-02-09,6270000
560,924,82,4,2024-08-26,680000
561,17,87,9,2024-07-25,1728000
562,657,35,2,2024-11-22,5500000
563,650,11,4,2024-10-31,55960000
564,418,36,8,2024-10-18,8440000
565,936,53,3,2025-03-04,3570000
566,937,29,8,2024-03-12,75120000
567,309,30,9,2024-06-10,99810000
568,333,49,5,2025-01-03,38450000
569,949,9,7,2024-04-03,90930000
570,291,2,6,2024-04-03,74640000
571,156,69,9,2024-10-14,125910000
572,357,86,10,2025-02-02,1000000
573,589,11,8,2024-11-26,111920000
574,704,52,9,2024-06-20,7731000
575,67,41,3,2024-06-27,2970000
576,789,38,1,2024-04-09,2090000
577,735,92,1,2025-02-15,2590000
578,433,53,8,2024-04-21,9520000
579,526,62,3,2024-08-23,20235000
580,297,93,10,2024-08-10,11900000
581,72,32,9,2024-07-02,98910000
582,981,75,5,2025-01-13,91950000
583,706,38,9,2024-04-23,18810000
584,454,91,4,2024-12-13,9760000
585,103,89,4,2024-07-10,3960000
586,733,22,5,2024-03-18,43450000
587,682,7,5,2024-07-26,62200000
588,487,80,6,2024-07-21,3060000
589,279,49,7,2024-02-21,53830000
590,910,16,2,2024-12-20,5980000
591,457,70,2,2024-03-08,45380000
592,943,87,6,2024-02-12,1152000
593,271,17,7,2024-04-27,125230000
594,867,75,4,2024-05-01,73560000
595,528,81,3,2024-04-19,510000
596,163,31,9,2024-06-03,18810000
597,904,6,2,2024-03-06,20780000
598,103,90,5,2024-09-16,4950000
599,930,92,6,2024-06-05,15540000
600,46,38,10,2024-10-08,20900000
601,730,26,1,2024-11-29,3240000
602,494,57,2,2024-09-19,10298000
603,915,74,1,2024-04-28,15290000
604,200,30,4,2024-11-05,44360000
605,634,75,7,2024-12-23,128730000
606,4,77,10,2024-07-20,281900000
607,930,57,8,2024-09-02,41192000
608,580,80,2,2025-02-09,1020000
609,610,48,2,2024-07-18,15980000
610,347,54,3,2024-02-28,14670000
611,695,31,9,2024-09-21,18810000
612,778,66,4,2024-08-16,11160000
613,360,83,2,2024-09-09,170000
614,41,25,6,2024-02-28,64500000
615,447,82,2,2024-03-30,340000
616,237,5,6,2025-03-09,51600000
617,713,66,9,2024-12-27,25110000
618,456,51,3,2024-02-28,23970000
619,996,84,3,2024-11-16,1350000
620,948,45,10,2024-08-06,39900000
621,384,53,8,2024-03-28,9520000
622,589,47,10,2024-03-15,75900000
623,791,1,1,2024-07-29,5480000
624,296,70,8,2024-08-16,181520000
625,814,93,10,2024-08-23,11900000
626,675,71,6,2024-09-27,109140000
627,7,59,10,2024-03-18,39900000
628,925,45,9,2024-05-11,35910000
629,374,29,9,2024-02-17,84510000
630,898,10,8,2024-07-30,59120000
631,818,36,8,2024-08-15,8440000
632,103,16,2,2024-04-05,5980000
633,799,10,3,2024-12-19,22170000
634,256,93,1,2024-12-04,1190000
635,845,56,3,2025-03-03,11970000
636,820,34,1,2024-05-07,3790000
637,402,94,2,2025-01-24,11980000
638,328,76,6,2025-02-17,136740000
639,614,68,6,2024-05-12,61140000
640,435,78,2,2024-06-07,98000
641,586,23,7,2024-02-23,45430000
642,500,93,3,2024-05-08,3570000
643,823,91,5,2024-06-09,12200000
644,578,86,1,2024-10-30,100000
645,497,85,3,2024-09-25,270000
646,47,68,2,2025-01-15,20380000
647,985,55,5,2025-02-23,36450000
648,543,86,4,2024-08-19,400000
649,680,49,6,2024-11-09,46140000
650,663,7,2,2024-06-19,24880000
651,706,57,10,2024-06-15,51490000
652,142,74,2,2024-08-03,30580000
653,251,74,1,2025-02-28,15290000
654,440,85,1,2025-01-14,90000
655,785,65,6,2024-05-31,23940000
656,723,6,9,2024-12-07,93510000
657,761,50,7,2024-10-03,39130000
658,875,41,8,2024-03-25,7920000
659,438,40,3,2024-07-14,1497000
660,28,72,9,2024-04-16,143910000
661,251,63,1,2025-02-23,8600000
662,991,77,3,2024-07-15,84570000
663,41,12,10,2024-12-11,117500000
664,590,58,2,2024-05-10,16640000
665,281,53,8,2024-06-10,9520000
666,638,5,10,2025-01-31,86000000
667,814,83,6,2024-05-13,510000
668,20,46,8,2024-06-04,27920000
669,271,78,6,2025-02-04,294000
670,76,53,8,2024-04-09,9520000
671,147,81,2,2024-10-15,340000
672,134,80,8,2024-06-01,4080000
673,29,25,10,2024-09-13,107500000
674,568,23,9,2024-02-14,58410000
675,267,18,5,2025-01-20,26450000
676,274,72,1,2024-03-19,15990000
677,771,32,5,2024-12-19,54950000
678,920,64,5,2025-03-08,41950000
679,283,51,4,2024-07-10,31960000
680,355,77,5,2024-02-18,140950000
681,321,31,6,2024-12-01,12540000
682,160,20,5,2024-10-02,38750000
683,264,17,4,2024-11-23,71560000
684,516,77,10,2024-08-14,281900000
685,172,72,3,2024-10-19,47970000
686,856,1,10,2024-06-09,54800000
687,688,84,10,2025-02-28,4500000
688,619,1,9,2025-01-11,49320000
689,528,79,4,2024-07-15,300000
690,979,61,9,2024-07-08,43110000
691,855,87,9,2024-05-21,1728000
692,621,25,8,2024-04-03,86000000
693,229,3,5,2024-11-22,38750000
694,34,50,1,2025-02-03,5590000
695,41,33,2,2025-03-07,27580000
696,612,78,6,2024-07-11,294000
697,190,30,3,2024-10-26,33270000
698,612,95,4,2024-10-18,3560000
699,544,68,1,2025-02-27,10190000
700,614,94,4,2024-04-15,23960000
701,210,58,7,2024-08-12,58240000
702,404,49,5,2025-02-04,38450000
703,420,48,2,2024-04-14,15980000
704,702,39,4,2024-07-28,3960000
705,872,44,6,2025-03-15,3114000
706,816,7,6,2025-03-10,74640000
707,504,31,8,2025-02-27,16720000
708,970,18,6,2024-08-24,31740000
709,719,32,4,2025-02-18,43960000
710,714,45,6,2024-05-08,23940000
711,448,45,8,2024-12-02,31920000
712,135,21,2,2024-08-23,28980000
713,962,95,8,2024-04-29,7120000
714,611,71,10,2024-02-26,181900000
715,458,84,1,2024-06-23,450000
716,226,63,6,2024-10-06,51600000
717,267,3,1,2025-02-13,7750000
718,495,38,2,2024-10-08,4180000
719,253,18,9,2024-02-21,47610000
720,644,23,10,2024-07-29,64900000
721,357,40,7,2025-02-03,3493000
722,388,19,4,2024-03-09,12360000
723,930,95,9,2024-06-26,8010000
724,293,66,6,2024-05-04,16740000
725,496,24,2,2024-06-12,8800000
726,723,47,9,2025-01-28,68310000
727,253,21,6,2024-11-19,86940000
728,339,84,9,2024-07-19,4050000
729,62,5,10,2025-03-12,86000000
730,515,79,2,2024-08-11,150000
731,697,96,1,2024-05-13,790000
732,434,37,7,2024-10-11,3073000
733,939,42,6,2025-02-16,3300000
734,902,41,10,2024-08-11,9900000
735,133,22,5,2025-03-08,43450000
736,786,2,10,2025-01-07,124400000
